x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-1.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,-0.5,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5
0.0,0.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.5,-2.0,2.0
0.0,0.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.5,-2.0,2.0
0.0,0.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.5,-2.0,2.0
0.0,0.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.5,-2.0,2.0
0.0,0.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.5,-2.0,2.0
0.0,0.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.5,-2.0,2.0
0.0,0.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.5,-2.0,2.0
0.0,0.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.5,-2.0,2.0
0.0,0.0,-4.0,0.0,70.0,0.0,0.0,0.0,0.0,2.5,-2.0,2.0
